Date,Product,Category,Region,Sales,Quantity,Price,Customer_Type,Payment_Method,Discount
2024-01-01,Laptop Pro X1,Electronics,Norte,2500000,2,1250000,Corporativo,Tarjeta,0.05
2024-01-01,Mouse Inalámbrico,Accessories,Sur,85000,5,17000,Individual,Efectivo,0.00
2024-01-02,Teclado Mecánico,Accessories,Centro,180000,3,60000,Individual,Tarjeta,0.10
2024-01-03,Monitor 27",Electronics,Norte,950000,2,475000,Corporativo,Transferencia,0.15
2024-01-04,Webcam HD,Electronics,Este,320000,4,80000,Individual,Tarjeta,0.00
2024-01-05,Laptop Pro X1,Electronics,Oeste,3750000,3,1250000,Corporativo,Tarjeta,0.10
2024-01-06,Audífonos Bluetooth,Accessories,Sur,240000,4,60000,Individual,Efectivo,0.05
2024-01-08,Software Office 365,Software,Norte,450000,5,90000,Corporativo,Transferencia,0.20
2024-01-10,Laptop Pro X2,Electronics,Centro,4200000,3,1400000,Corporativo,Tarjeta,0.15
2024-01-12,Mouse Pad Gaming,Accessories,Este,45000,3,15000,Individual,Efectivo,0.00
2024-01-15,Antivirus Premium,Software,Oeste,180000,6,30000,Individual,Tarjeta,0.10
2024-01-18,Monitor 32",Electronics,Norte,1800000,2,900000,Corporativo,Transferencia,0.12
2024-01-20,Teclado Inalámbrico,Accessories,Sur,210000,3,70000,Individual,Tarjeta,0.05
2024-01-22,Laptop Pro X3,Electronics,Centro,5400000,3,1800000,Corporativo,Tarjeta,0.18
2024-01-25,Cable HDMI,Accessories,Este,60000,6,10000,Individual,Efectivo,0.00
2024-01-28,Software CAD,Software,Oeste,890000,2,445000,Corporativo,Transferencia,0.15
2024-02-01,Laptop Pro X1,Electronics,Norte,2500000,2,1250000,Corporativo,Tarjeta,0.08
2024-02-03,Impresora Láser,Electronics,Sur,650000,1,650000,Corporativo,Transferencia,0.10
2024-02-05,Mouse Gaming,Accessories,Centro,150000,3,50000,Individual,Tarjeta,0.00
2024-02-08,Monitor 24",Electronics,Este,720000,2,360000,Individual,Efectivo,0.05
2024-02-10,Audífonos Pro,Accessories,Oeste,480000,4,120000,Corporativo,Tarjeta,0.12
2024-02-12,Software Diseño,Software,Norte,670000,2,335000,Corporativo,Transferencia,0.15
2024-02-15,Laptop Pro X2,Electronics,Sur,4200000,3,1400000,Corporativo,Tarjeta,0.10
2024-02-18,Teclado RGB,Accessories,Centro,270000,3,90000,Individual,Efectivo,0.05
2024-02-20,Webcam 4K,Electronics,Este,520000,4,130000,Individual,Tarjeta,0.08
2024-02-22,Software Backup,Software,Oeste,240000,4,60000,Corporativo,Transferencia,0.20
2024-02-25,Monitor Curvo 34",Electronics,Norte,2400000,2,1200000,Corporativo,Tarjeta,0.15
2024-02-28,Mouse Ergonómico,Accessories,Sur,105000,3,35000,Individual,Efectivo,0.00
2024-03-01,Laptop Pro X3,Electronics,Centro,5400000,3,1800000,Corporativo,Transferencia,0.12
2024-03-04,Parlantes 2.1,Electronics,Este,380000,2,190000,Individual,Tarjeta,0.05
2024-03-07,Software ERP,Software,Oeste,1200000,1,1200000,Corporativo,Transferencia,0.18
2024-03-10,Teclado Compacto,Accessories,Norte,180000,3,60000,Individual,Efectivo,0.00
2024-03-12,Monitor Touch,Electronics,Sur,1650000,2,825000,Corporativo,Tarjeta,0.10
2024-03-15,Laptop Pro X1,Electronics,Centro,3750000,3,1250000,Corporativo,Transferencia,0.08
2024-03-18,Cable USB-C,Accessories,Este,90000,9,10000,Individual,Efectivo,0.00
2024-03-20,Software Contable,Software,Oeste,450000,3,150000,Corporativo,Tarjeta,0.15
2024-03-22,Webcam Pro,Electronics,Norte,780000,3,260000,Corporativo,Transferencia,0.12
2024-03-25,Mouse Vertical,Accessories,Sur,165000,3,55000,Individual,Tarjeta,0.05
2024-03-28,Laptop Pro X2,Electronics,Centro,5600000,4,1400000,Corporativo,Tarjeta,0.10
2024-03-30,Monitor Gaming 144Hz,Electronics,Este,1350000,2,675000,Individual,Efectivo,0.08
2024-04-02,Software CRM,Software,Oeste,980000,2,490000,Corporativo,Transferencia,0.20
2024-04-05,Teclado Silencioso,Accessories,Norte,240000,4,60000,Individual,Tarjeta,0.00
2024-04-08,Laptop Pro X3,Electronics,Sur,7200000,4,1800000,Corporativo,Tarjeta,0.15
2024-04-10,Impresora Multifunción,Electronics,Centro,890000,1,890000,Corporativo,Transferencia,0.10
2024-04-12,Audífonos Gaming,Accessories,Este,360000,3,120000,Individual,Efectivo,0.05
2024-04-15,Software Analytics,Software,Oeste,560000,2,280000,Corporativo,Tarjeta,0.12
2024-04-18,Monitor Portátil,Electronics,Norte,480000,2,240000,Individual,Transferencia,0.08
2024-04-20,Mouse Recargable,Accessories,Sur,120000,4,30000,Individual,Efectivo,0.00
2024-04-22,Laptop Pro X1,Electronics,Centro,3750000,3,1250000,Corporativo,Tarjeta,0.10
2024-04-25,Webcam Streaming,Electronics,Este,650000,2,325000,Individual,Tarjeta,0.15
2024-04-28,Software Security,Software,Oeste,720000,3,240000,Corporativo,Transferencia,0.18
2024-04-30,Teclado Numérico,Accessories,Norte,75000,5,15000,Individual,Efectivo,0.00